L W R Segment
4.85903928002238 1.41 6892.25429790409 1
4.24396396271426 1.41 6019.80703931101 1
3.73144466218174 1.41 5292.8293080592 1
3.37265030536715 1.41 4783.90114236476 1
3.11639848829179 1.41 4420.42338764793 1
2.86014963221646 1.41 4056.94983293114 1
2.6550772940107 1.41 3766.06708370312 1
2.50136810640187 1.41 3548.0398672367 1
2.34756605106573 1.41 3329.88092349748 1
2.19385901691144 1.41 3111.85676157651 1
2.09132518071766 1.41 2966.41869605342 1
1.98879224179661 1.41 2820.9819032576 1
1.88625948233011 1.41 2675.54536500724 1
1.83508736109684 1.41 2602.96079588205 1
1.73255513999397 1.41 2457.52502126805 1
1.68128952294254 1.41 2384.80783396105 1
1.57875792993059 1.41 2239.37295025616 1
1.57875801965787 1.41 2239.3730775289 1
1.47632117864589 1.41 2094.07259382396 1
1.47632099919132 1.41 2094.07233927847 1
1.37379048290669 1.41 1948.63898284637 1
1.3737906623612 1.41 1948.63923739178 1
1.32252540421888 1.41 1875.92255917571 1
1.32252549394614 1.41 1875.92268644842 1
1.21999551602509 1.41 1730.49009365261 1
1.2199955160251 1.41 1730.49009365262 1
1.16873079624639 1.41 1657.77417907289 1
1.16873070651911 1.41 1657.77405180015 1
1.11746616619494 1.41 1585.05839176587 1
1.11746607646768 1.41 1585.05826449316 1
1.06629557032535 1.41 1512.47598627709 1
1.06629557032531 1.41 1512.47598627703 1
1.0150310300012 1.41 1439.76032624283 1
1.015031299183 1.41 1439.76070806099 1
1.01503103000115 1.41 1439.76032624277 1
0.963766758858836 1.41 1367.04504802672 1
0.912502487716475 1.41 1294.3297698106 1
0.963766848586116 1.41 1367.04517529946 1
0.912502487716496 1.41 1294.32976981063 1
0.861238396028677 1.41 1221.61474613997 1
0.912502577443746 1.41 1294.32989708333 1
0.861238396028687 1.41 1221.61474613998 1
0.809974304340919 1.41 1148.89972246939 1
0.861238396028677 1.41 1221.61474613997 1
0.809974394068148 1.41 1148.89984974205 1
0.809974304340898 1.41 1148.89972246936 1
0.809974394068138 1.41 1148.89984974204 1
0.758710392107671 1.41 1076.18495334421 1
0.809974483795408 1.41 1148.89997701476 1
