 v-sweep         out             load           
 2.79000000e+00  2.79000399e+00  2.79000396e+00 
 2.80000000e+00  2.80000406e+00  2.80000398e+00 
 2.81000000e+00  2.81000404e+00  2.81000400e+00 
 2.82000000e+00  2.82000403e+00  2.82000401e+00 
 2.83000000e+00  2.83000404e+00  2.83000402e+00 
 2.84000000e+00  2.84010488e+00  2.84000445e+00 
 2.85000000e+00  2.85000410e+00  2.85000407e+00 
 2.86000000e+00  2.86000409e+00  2.86000407e+00 
 2.87000000e+00  2.87010512e+00  2.87000449e+00 
 2.88000000e+00  2.88010519e+00  2.88000452e+00 
 2.89000000e+00  2.89010528e+00  2.89000453e+00 
 2.90000000e+00  2.90000421e+00  2.90000413e+00 
 2.91000000e+00  2.91000419e+00  2.91000416e+00 
 2.92000000e+00  2.92010549e+00  2.92000458e+00 
 2.93000000e+00  2.93000423e+00  2.93000420e+00 
 2.94000000e+00  2.94000426e+00  2.94000422e+00 
 2.95000000e+00  2.95000417e+00  2.95000423e+00 
 2.96000000e+00  2.96000429e+00  2.96000426e+00 
 2.97000000e+00  2.97000438e+00  2.97000428e+00 
 2.98000000e+00  2.98000433e+00  2.98000430e+00 
 2.99000000e+00  2.99000435e+00  2.99000432e+00 
 3.00000000e+00  3.00000437e+00  3.00000434e+00 
 3.01000000e+00  3.01000455e+00  3.01000436e+00 
 3.02000000e+00  3.02000441e+00  3.02000438e+00 
 3.03000000e+00  3.02990344e+00  3.03000476e+00 
 3.04000000e+00  3.04000442e+00  3.04000442e+00 
 3.05000000e+00  3.05000444e+00  3.05000443e+00 
 3.06000000e+00  3.05990334e+00  3.06000482e+00 
 3.07000000e+00  3.07000457e+00  3.07000448e+00 
 3.08000000e+00  3.08000449e+00  3.08000449e+00 
 3.09000000e+00  3.09000457e+00  3.09000452e+00 
 3.10000000e+00  3.10000457e+00  3.10000453e+00 
 3.11000000e+00  3.11000459e+00  3.11000456e+00 
 3.12000000e+00  3.12000461e+00  3.12000458e+00 
 3.13000000e+00  3.13000463e+00  3.13000460e+00 
 3.14000000e+00  3.14000465e+00  3.14000462e+00 
 3.15000000e+00  3.15000467e+00  3.15000464e+00 
 3.16000000e+00  3.16000471e+00  3.16000467e+00 
 3.17000000e+00  3.17000476e+00  3.17000469e+00 
 3.18000000e+00  3.18000468e+00  3.18000472e+00 
 3.19000000e+00  3.19000481e+00  3.19000474e+00 
 3.20000000e+00  3.20000474e+00  3.20000476e+00 
 3.21000000e+00  3.21000482e+00  3.21000478e+00 
 3.22000000e+00  3.22000483e+00  3.22000481e+00 
 3.23000000e+00  3.23000486e+00  3.23000482e+00 
 3.24000000e+00  3.24000482e+00  3.24000485e+00 
 3.25000000e+00  3.25000491e+00  3.25000487e+00 
 3.26000000e+00  3.26000496e+00  3.26000489e+00 
 3.27000000e+00  3.27000492e+00  3.27000493e+00 
 3.28000000e+00  3.28000502e+00  3.28000494e+00 
 3.29000000e+00  3.29000497e+00  3.29000497e+00 
 3.30000000e+00  3.30000503e+00  3.30000500e+00 
 3.31000000e+00  3.31000514e+00  3.31000501e+00 
 3.32000000e+00  3.32000516e+00  3.32000503e+00 
 3.33000000e+00  3.33000510e+00  3.33000507e+00 
 3.34000000e+00  3.34000521e+00  3.34000509e+00 
 3.35000000e+00  3.35000516e+00  3.35000512e+00 
 3.36000000e+00  3.36000521e+00  3.36000515e+00 
 3.37000000e+00  3.37000529e+00  3.37000517e+00 
 3.38000000e+00  3.38000531e+00  3.38000519e+00 
 3.39000000e+00  3.39000525e+00  3.39000522e+00 
 3.40000000e+00  3.40000536e+00  3.40000524e+00 
 3.41000000e+00  3.41000515e+00  3.41000526e+00 
 3.42000000e+00  3.42000533e+00  3.42000529e+00 
 3.43000000e+00  3.43000548e+00  3.43000532e+00 
 3.44000000e+00  3.44000539e+00  3.44000534e+00 
 3.45000000e+00  3.45000541e+00  3.45000537e+00 
 3.46000000e+00  3.46000535e+00  3.46000541e+00 
 3.47000000e+00  3.47000547e+00  3.47000543e+00 
 3.48000000e+00  3.48000556e+00  3.48000546e+00 
 3.49000000e+00  3.49000540e+00  3.49000547e+00 
 3.50000000e+00  3.50000552e+00  3.50000550e+00 
 3.51000000e+00  3.51000556e+00  3.51000553e+00 
 3.52000000e+00  3.52000557e+00  3.52000556e+00 
 3.53000000e+00  3.53000560e+00  3.53000559e+00 
 3.54000000e+00  3.54000559e+00  3.54000561e+00 
 3.55000000e+00  3.55011296e+00  3.55000598e+00 
 3.56000000e+00  3.56000570e+00  3.56000567e+00 
 3.57000000e+00  3.57011351e+00  3.57000603e+00 
 3.58000000e+00  3.58000575e+00  3.58000572e+00 
 3.59000000e+00  3.59000579e+00  3.59000575e+00 
 3.60000000e+00  3.60000580e+00  3.60000578e+00 
 3.61000000e+00  3.61000582e+00  3.61000581e+00 
 3.62000000e+00  3.62000582e+00  3.62000583e+00 
 3.63000000e+00  3.63000586e+00  3.63000587e+00 
 3.64000000e+00  3.64000594e+00  3.64000590e+00 
 3.65000000e+00  3.65000591e+00  3.65000594e+00 
 3.66000000e+00  3.66000602e+00  3.66000597e+00 
 3.67000000e+00  3.67000604e+00  3.67000600e+00 
 3.68000000e+00  3.68000606e+00  3.68000602e+00 
 3.69000000e+00  3.69000613e+00  3.69000604e+00 
 3.70000000e+00  3.70000614e+00  3.70000608e+00 
 3.71000000e+00  3.71000614e+00  3.71000612e+00 
 3.72000000e+00  3.72000609e+00  3.72000615e+00 
 3.73000000e+00  3.73000612e+00  3.73000618e+00 
 3.74000000e+00  3.74000626e+00  3.74000622e+00 
 3.75000000e+00  3.75000623e+00  3.75000624e+00 
 3.76000000e+00  3.76000630e+00  3.76000626e+00 
